temp_avg,temp_max,wind_speed,cloud_cover,precipitation,humidity,precip_cover,avg_reservoir_fill,max_reservoir_fill,reservoir_risk_score,reservoirs_above_danger,flood_class
26.856250000000003,32.0,12.6125,91.6875,200.1,90.375,100.0,99.08,99.08,6,1,1
26.95625,39.2,17.89375,13.6875,0.0,47.9375,0.0,55.25,55.25,0,0,0
26.912499999999998,39.1,17.3125,10.75,0.0,38.625,0.0,62.41,62.41,0,0,0
27.174999999999997,31.4,14.118749999999999,80.4375,169.3,87.875,100.0,37.38,37.38,0,0,0
26.043750000000003,29.1,18.89375,90.375,312.29999999999995,90.625,100.0,99.51,99.51,6,1,1
26.0375,29.1,18.856249999999996,87.5,292.0,90.3125,100.0,99.95,99.95,6,1,1
29.96875,42.0,18.275000000000002,19.25,0.0,62.375,0.0,49.75,49.75,0,0,0
24.15,35.8,14.375,25.0625,0.0,55.9375,0.0,66.64,66.64,0,0,0
25.28125,38.5,18.093750000000004,14.25,0.0,54.0,0.0,53.32,53.32,0,0,0
28.5125,38.0,20.225000000000005,71.0,98.0,81.25,100.0,22.84,22.84,0,0,0
25.95,30.2,18.506249999999998,97.75,421.6000000000001,90.8125,100.0,59.34,59.34,0,0,0
25.893749999999994,29.7,20.3625,95.8125,559.6,91.125,100.0,76.44,76.44,1,0,0
23.431250000000002,30.3,12.812500000000002,43.375,2.5,67.4375,37.5,99.67,99.67,6,1,1
27.1375,35.9,12.943749999999998,10.0,0.0,30.4375,0.0,78.12,78.12,1,0,0
22.8375,31.1,12.275,41.6875,5.1,59.75,18.75,98.58,98.58,6,1,1
24.70625,35.1,12.19375,4.6875,0.0,29.75,0.0,96.18,96.18,6,1,1
31.4125,41.0,21.2,5.3125,0.0,38.375,0.0,5.62,5.62,0,0,0
32.59375000000001,41.5,19.09375,16.375,1.0,27.875,12.5,27.43,27.43,0,0,0
24.6875,30.3,12.681249999999999,77.0625,109.90000000000002,85.75,100.0,100.0,100.0,6,1,1
24.4,35.5,18.8375,7.8125,0.0,40.4375,0.0,24.64,24.64,0,0,0
23.60625,29.6,17.262500000000003,67.6875,137.2,85.25,100.0,99.91,99.91,6,1,1
24.7875,30.2,11.237499999999999,49.3125,43.6,79.1875,81.25,100.0,100.0,6,1,1
28.306250000000002,37.2,16.425000000000004,21.1875,9.0,41.5,31.25,69.55,69.55,0,0,0
20.13125,30.5,10.912500000000001,3.5625,0.0,46.8125,0.0,40.61,40.61,0,0,0
19.593749999999996,28.6,13.100000000000001,18.125,1.2000000000000002,69.1875,12.5,98.08,98.08,6,1,1
25.324999999999992,31.4,20.793750000000003,87.4375,163.49999999999997,83.5625,100.0,66.58,66.58,0,0,0
21.94375,35.4,15.606250000000001,8.0,0.0,43.1875,0.0,37.83,37.83,0,0,0
24.9375,31.4,22.8375,91.3125,193.9,84.5,100.0,86.68,86.68,4,1,1
25.781249999999996,31.1,20.912499999999994,71.9375,84.50000000000001,80.5625,100.0,42.2,42.2,0,0,0
25.537499999999998,32.7,13.45,38.0,7.0,49.375,18.75,91.81,91.81,4,1,1
23.918750000000003,29.6,16.35,61.5625,59.50000000000001,82.625,100.0,99.91,99.91,6,1,1
31.856250000000003,40.5,15.606249999999998,17.0625,0.0,21.0,0.0,68.48,68.48,0,0,0
22.462500000000002,29.8,11.45,31.4375,1.6,57.875,6.25,91.7,91.7,4,1,1
23.31875,31.8,11.968749999999998,21.6875,0.0,44.1875,0.0,81.73,81.73,1,0,0
25.612500000000004,30.5,25.4125,91.5625,103.4,78.25,100.0,67.36,67.36,0,0,0
26.906250000000004,36.4,14.943749999999998,37.5,49.99999999999999,64.625,81.25,54.71,54.71,0,0,0
36.56250000000001,43.2,17.81875,27.8125,0.2,25.5625,6.25,0.68,0.68,0,0,0
